LoanID,AS_OF_DATE,Property,Occupancy,Product_Type,Purpose,Mortgagetype,Lien_Position,ORATE,Original_Appraisal_Amount,Origination_Date,First_Payment_Date,Original_Amount,Original_Term,Remaining_Term,Amor_Term,PMI,CITY,STATE,ZIP,FICO,Gross_Margin,LCAP,LFLOOR,ICAP,PCAP,IO_Term,Interest_Reset_Interval,Reset_Index,First_Interest_Rate_Adjustment_Date,First_Recast/Next_Recast,Recast_Frequency,Recast_Cap,Negam_Initial_Minimum_Payment_Period,Negam_Payment_Reset_Frequency,STATUS,DEFERRED_BAL,Modification_Date,Foreclosure_Referral_Date,Current_Property_Value,Current_Value_Date,Current_Principal_Balance,Current_Interest_Rate,LAST_PMT_RECD,Current_FICO_Score,BK_FLAG,MSR,Senior Lien Bal,Senior Lien Bal Date,2nd Lien Piggyback Flag,Junior Lien Bal,Junior Lien Bal Date,SF,Recovery
500122,,CO,I,SUBPRIME,C,CONV,1,0.1235,340000,8/7/2006,10/1/2006,255000,360,359,360,No PMI Insurance,Miami Shores,FL,33138,502,0.0735,0.1835,0.1235,,0.01,,6,6W1BD,9/1/2008,0.01,6,0,,6,90 DPD,0,,,89000,12/9/2010,255000,0.1235,,521,N,N,,,N,,,VARIOUS,0.94
500435,,CO,P,SUBPRIME,C,CONV,1,0.0795,800000,8/30/2006,10/1/2006,455000,360,359,360,No PMI Insurance,Miami,FL,33129,605,,,,,,0,,,,,,,,,REO,0,10/24/2007,2/15/2008,550000,8/11/2010,475654.5,0.0795,10/24/2007,515,N,Y,,,N,,,1500,0.97
501827,,CO,P,SUBPRIME,P,CONV,1,0.089,315000,12/13/2006,2/1/2007,252000,360,359,360,No PMI Insurance,Jamaica Plain,MA,2130,,0.06475,0.154,0.089,,0.01,,6,6W1BD,1/1/2009,0.01,6,0,,6,REO,0,,1/27/2010,84000,8/13/2010,252000,0.089,,559,N,N,,,N,,,5000,0.79
502268,,SF,P,SUBPRIME,P,CONV,1,0.075,500000,11/1/2006,1/1/2007,400000,360,359,360,No PMI Insurance,Brooklyn,NY,11203,561,0.05077,0.135,0.075,,0.015,,6,6WSLB,12/1/2008,0.015,6,0,,6,FC,0,,3/28/2007,380000,10/21/2010,400000,0.075,,482,N,Y,,,N,,,5000,0.79
500364,,SF,P,SUBPRIME,R,CONV,1,0.02,105000,12/13/2006,2/1/2007,84000,360,358,360,No PMI Insurance,Marion,VA,24354,,,,,,,,,,,,,,,,CURRENT,0,11/24/2010,,85000,10/19/2010,83426.31,0.02,12/15/2010,495,N,N,,,N,,,2500,0.83
503035,,SF,P,SUBPRIME,P,CONV,1,0.079,117000,4/22/2005,6/1/2005,101700,360,358,360,No PMI Insurance,Euclid,OH,44117,436,0.06,0.139,0.079,,0.01,0,6,6WSLB,5/1/2007,0.01,6,0,,6,90 DPD,0,,,45000,10/8/2010,101630.35,0.079,1/28/2008,466,N,N,,,N,,,VARIOUS,0.95
503363,,2F,P,SUBPRIME,C,CONV,1,0.07545,600000,1/26/2006,3/1/2006,480000,360,358,360,No PMI Insurance,Brooklyn,NY,11206,524,0.0585,0.14045,0.07545,,0.01,,6,6W1BD,2/1/2008,0.01,6,0,,6,FC,0,,2/6/2007,350000,12/15/2010,479596.97,0.07545,,488,N,N,,,N,,,VARIOUS,0.86
503834,,3F,P,SUBPRIME,P,CONV,1,0.0913,270000,3/27/2006,5/1/2006,216000,360,358,360,No PMI Insurance,East Orange,NJ,7017,539,0.0688,0.1513,0.0913,,0.01,,6,6W1BD,4/1/2008,0.01,6,0,,6,90 DPD,0,,,65000,1/12/2010,215885.17,0.0913,9/25/2006,550,N,N,,,N,,,VARIOUS,0.92
503938,,PD,P,SUBPRIME,P,CONV,1,0.06775,1017159,10/12/2005,12/1/2005,650000,360,358,360,No PMI Insurance,Wilton,CA,95693,678,,,,,,60,,,,,,,,,FC,0,7/9/2008,11/4/2008,483000,11/19/2010,687616.81,0.06775,8/14/2008,517,N,Y,,,N,,,5000,0.97
500660,,SF,P,SUBPRIME,R,CONV,1,0.06,80000,11/21/2007,1/1/2008,75200,360,357,360,No PMI Insurance,Council Bluffs,IA,51501,,,,,,,,,,,,,,,,FC,0,2/22/2010,8/4/2010,60000,9/30/2010,74048.99,0.06,4/9/2010,551,N,N,,,N,,,VARIOUS,0.86
502195,,SF,P,SUBPRIME,C,CONV,1,0.0764,155000,8/31/2005,10/1/2005,124000,360,357,360,No PMI Insurance,Englewood,FL,34224,588,0.0714,0.1464,0.0764,,0.01,,6,6W1BD,9/1/2007,0.01,6,0,,6,FC,0,,7/31/2006,77000,9/1/2010,123999.99,0.0764,,544,N,Y,,,N,,,5000,1
503782,,SF,P,SUBPRIME,P,CONV,1,0.078,245000,10/28/2005,12/1/2005,190000,360,357,361,No PMI Insurance,Chicago,IL,60639,617,,,,,,0,,,,,,,,,CURRENT,0,10/19/2010,,154000,9/22/2010,185515.66,0.02,11/26/2010,615,N,Y,,,N,,,5000,0.99
500256,,SF,P,SUBPRIME,C,CONV,1,0.08875,320000,4/19/2007,6/1/2007,208000,360,356,480,No PMI Insurance,Tampa,FL,33604,580,,,,,,0,,,,,,,,,FC,0,,1/1/2008,62000,9/29/2010,207860.62,0.08875,9/11/2007,,N,N,,,N,,,VARIOUS,0.87
500984,,SF,P,SUBPRIME,P,CONV,1,0.096,158000,1/16/2007,3/1/2007,154300,360,356,360,No PMI Insurance,Ocala,FL,34482,500,0.0625,0.156,0.096,,0.01,0,6,6W1BD,2/1/2009,0.01,6,0,,6,FC,0,,9/5/2007,70000,11/15/2010,154075.26,0.096,5/15/2007,495,N,Y,,,N,,,1500,0.83
501012,,SF,P,SUBPRIME,C,CONV,1,0.0725,385000,8/24/2005,10/1/2005,308000,360,356,360,No PMI Insurance,Hanson,MA,2341,680,0.0617,0.1325,0.0725,,0.015,,6,6WSLB,9/1/2007,0.015,6,0,,6,REO,0,,10/5/2006,160000,7/7/2010,307274.79,0.0725,,543,N,Y,,,N,,,5000,0.881429429
501810,,SF,P,SUBPRIME,P,CONV,1,0.0715,360400,1/19/2007,3/1/2007,288320,360,356,600,No PMI Insurance,Mastic,NY,11950,635,0.06225,0.1365,0.0715,,0.01,,6,6W1BD,2/1/2012,0.01,6,0,,6,FC,0,,9/5/2007,269000,8/10/2010,288168.92,0.0715,6/19/2007,653,N,N,,,N,72012.14,12/31/2010,2500,0.75
504575,,CO,P,SUBPRIME,CN,CONV,1,0.07,1670000,10/4/2007,12/1/2007,1000000,360,356,360,No PMI Insurance,Meadow Vista,CA,95722,,0.03,0.13,0,,0.02,,12,WS1YL,11/1/2010,0.02,12,0,,12,FC,0,,6/19/2008,800000,10/5/2010,1000000,0.07,,481,N,N,,,N,,,VARIOUS,0.92
500657,,SF,P,SUBPRIME,P,PMI,1,0.075,100000,8/29/2006,10/1/2006,89900,360,355,360,United Guaranty Ins,Hamilton,OH,45015,,,,,,,,,,,,,,,,FC,0,,5/22/2008,89416,12/18/2008,89630.6,0.075,,488,N,N,,,N,,,2500,0.82
501555,,SF,P,SUBPRIME,P,CONV,2,0.10875,810000,11/28/2006,1/1/2007,162000,360,355,360,No PMI Insurance,Miami,FL,33156,,,,,,,,,,,,,,,,90 DPD,0,,,650000,12/4/2007,161759.34,0.10875,,559,N,N,829666,1/7/2011,N,,,5000,1
501708,,SF,P,SUBPRIME,C,CONV,1,0.0452,514000,7/28/2006,10/1/2006,411200,360,355,360,No PMI Insurance,Herriman,UT,84065,634,,,,,,0,,,,,,,,,FC,0,2/24/2009,11/3/2009,250000,12/20/2010,414856.73,0.0452,7/10/2009,518,N,Y,,,N,,,1500,0.85
502297,,3F,P,SUBPRIME,R,CONV,1,0.095,375000,6/28/2006,8/1/2006,300000,360,355,360,No PMI Insurance,Newark,NJ,7103,445,0.0699,0.155,0.095,,0.015,,6,6WSLB,7/1/2008,0.015,6,0,,6,90 DPD,0,,,85000,8/12/2010,299402.67,0.095,9/21/2010,601,Y,Y,,,N,,,5000,0.97
503306,,SF,P,SUBPRIME,P,CONV,1,0.0825,460000,9/29/2005,11/1/2005,368000,360,355,480,No PMI Insurance,Richmond Hi,NY,11419,549,0.0665,0.1475,0.0825,,0.01,,6,6W1BD,10/1/2007,0.01,6,0,,6,FC,0,,7/12/2006,318000,10/26/2010,367603.82,0.0825,,537,N,N,,,N,,,VARIOUS,0.97
503380,,SF,P,SUBPRIME,,CONV,1,0.0888,160000,6/29/2006,8/1/2006,160000,360,355,360,No PMI Insurance,Lansing,MI,48906,632,0.065,0.1488,0.0888,,0.015,,6,6W1BD,7/1/2008,0.015,6,0,,6,FC,0,,5/9/2007,85000,9/28/2010,159637.61,0.0888,,485,N,Y,,,N,,,5000,0.82
503825,,SF,P,SUBPRIME,P,CONV,1,0.0929,93500,1/27/2006,2/26/2006,74800,360,355,360,No PMI Insurance,Birmingham,AL,35235,519,0.0829,0.1529,0.0929,,0.01,,6,6W1BD,1/26/2008,0.01,6,0,,6,90 DPD,0,,,35000,11/22/2010,74644.36,0.0929,7/18/2008,533,N,N,,,N,,,VARIOUS,0.94
504976,,SF,P,SUBPRIME,P,CONV,1,0.0899,575000,1/2/2007,3/1/2007,460000,360,355,480,No PMI Insurance,Miramar,FL,33027,580,0.07825,0.1549,0.0899,,0.01,,6,6W1BD,2/1/2009,0.01,6,0,,6,REO,0,,10/3/2007,285000,6/29/2010,459601.34,0.0899,6/30/2007,563,N,N,,,N,,,2500,0.95
501494,,SF,P,SUBPRIME,C,CONV,1,0.1149,265000,12/27/2006,2/1/2007,185500,360,354,360,No PMI Insurance,Miami,FL,33169,509,0.06,0.1949,0.1149,,0.03,0,6,6W1BD,1/1/2009,0.03,6,0,,6,FC,0,,10/3/2007,75000,8/9/2010,185182.19,0.1149,6/22/2007,511,N,Y,,,N,,,1500,1
501519,,SF,P,SUBPRIME,P,PMI,1,0.07375,313000,5/2/2007,7/1/2007,313000,360,354,360,United Guaranty Ins,Miami,FL,33190,,,,,,,,,,,,,,,,90 DPD,0,,,137345,3/24/2010,311794.46,0.07375,,544,N,N,,,N,,,2500,0.95
